Nome_Colegio,Latitude,Longitude
Colégio Adventista de Planaltina,-15.619968,-47.650483
Escola Adventista de Campina Grande,-7.246885,-35.897295
Escola Adventista do Siqueira Campos Aracaju,-10.91123,-37.07256
Colégio Adventista de Cariacica,-20.340552,-40.377501
Colégio Adventista de Uberlândia,-18.918948,-48.244206
Colégio Adventista do Gama,-16.014971,-48.068807
Centro Educacional Adventista IBES,-20.351228,-40.313786
Centro Educacional Adventista Dr. Otto Keppke,-18.86098,-41.947453
Centro Educacional Adventista Dr. Otto Keppke Júnior,-18.857644,-41.950505
Colégio Adventista da Cidade Nova,-3.032081,-59.988253
Colégio Adventista de Sinop,-11.866123,-55.50842
Colégio Adventista Alto Boqueirão,-25.523476,-49.248493
Colégio Adventista Boa Vista - PR,-25.381757,-49.235594
Colégio Adventista Boqueirão,-25.488289,-49.245301
Colégio Adventista Campo-Grandense,-20.497555,-54.652121
Colégio Adventista Centenário,-25.466829,-49.211325
Colégio Adventista da Cidade Nova V,-1.355923,-48.393817
Colégio Adventista da Cohab,-2.542939,-44.218822
Colégio Adventista da Lapa,-23.521687,-46.709244
Liberdade - SP,-23.560291,-46.636624
Colégio Adventista da Liberdade - BA,-12.949570867248195,-38.49487572281915
Colégio Adventista da Tijuca,-22.914481,-43.214522
Colégio Adventista de Altamira,-3.208583,-52.222172
Colégio Adventista de Americana,-22.736584,-47.308398
Colégio Adventista de Americanópolis,-23.658266,-46.643527
Colégio Adventista de Araçariguama,-23.430540398070402,-47.0634851431041
Colégio Adventista de Araguaina,-7.198787,-48.211505
Colégio Adventista de Arruda,-8.02158,-34.892234
Colégio Adventista de Assis,-22.647274,-50.402741
Colégio Adventista de Bauru,-22.329836,-49.08164
Colégio Adventista de Belo Horizonte,-19.878779,-43.961062
Colégio Adventista de Bragança Paulista,-22.94801,-46.532708
Colégio Adventista de Cáceres,-16.059846,-57.685368
Colégio Adventista de Campinas,-22.91445,-47.05368
Colégio Adventista de Campinas - Unidade Castelo,-22.8965385,-47.0752138
Escola Adventista de Campo de Fora,-23.658449,-46.763445
Colégio Adventista de Campo Grande,-22.912119,-43.564091
Colégio Adventista de Campo Limpo,-23.626812,-46.764603
Colégio Adventista de Campo Mourão,-24.045533,-52.381109
Colégio Adventista de Caraguatatuba,-23.665840,-45.443911
Colégio Adventista de Caruaru,-8.272821,-35.978235
Colégio Adventista de Cascavel,-24.953062,-53.463738
Colégio Adventista de Castelo Branco,-12.904279273595268,-38.44233360858064
Colégio Adventista de Cidade Ademar,-23.669918,-46.65203
Colégio Adventista de Codó,-4.454977,-43.886454
Colégio Adventista de Cotia,-23.584955,-46.926507
Colégio Adventista de Diadema,-23.688572,-46.623925
Colégio Adventista de Duque de Caxias,-22.7932733,-43.2979081
Colégio Adventista de Embu das Artes,-23.662864,-46.865285
Colégio Adventista de Engenheiro Goulart,-23.499537,-46.518816
Colégio Adventista de Esteio,-29.85113,-51.174508
Colégio Adventista de Eunápolis,-16.379534531,-39.58353486
Colégio Adventista de Feira de Santana,-12.264045,-38.949515
Colégio Adventista de Florianópolis - Centro,-27.593991,-48.54752
Colégio Adventista de Florianópolis - Estreito,-27.586517,-48.597129
Colégio Adventista de Foz do Iguaçu,-25.533825,-54.589315
Colégio Adventista de Gopoúva,-23.466100,-46.542013
Colégio Adventista de Gravataí,-29.936582,-51.037895
Colégio Adventista de Gurupi,-11.733193,-49.060861
Colégio Adventista de Hortolândia,-22.875274,-47.222741
Colégio Adventista de Imperatriz,-5.516313,-47.488646
Colégio Adventista de Indaial,-26.891382,-49.239538
Colégio Adventista de Interlagos,-23.71339,-46.695416
Colégio Adventista de Ipatinga,-19.475224,-42.529374
Colégio Adventista de Ipatinga Júnior,-19.475396,-42.530745
Colégio Adventista de Itaboraí,-22.74286,-42.857666
Colégio Adventista de Itabuna,-14.794128,-39.277932
Colégio Adventista de Itaguaí,-22.8707210,-43.7874672
Colégio Adventista de Itajaí,-26.909764,-48.664404
Colégio Adventista de Itapagipe,-12.934724968064183,-38.50251517297658
Colégio Adventista de Itapetinga,-15.25212,-40.244668
Colégio Adventista de Itararé,-24.10508,-49.343547
Colégio Adventista de Jacareí,-23.31534,-45.983751
Colégio Adventista de Jacarepaguá,-22.89355,-43.355889
Colégio Adventista de Jardim Utinga,-23.620223,-46.519675
Colégio Adventista de Ji-Paraná,-10.891745,-61.916803
Colégio Adventista de Joinville - Costa e Silva,-26.272031,-48.867407
Colégio Adventista de Joinville - Saguaçu,-26.284272,-48.842098
Colégio Adventista de Lauro de Freitas,-12.878599138791259,-38.29349404115893
Colégio Adventista de Limeira,-22.56146,-47.432286
Colégio Adventista de Londrina,-23.29856,-51.190178
Colégio Adventista de Lorena,-22.726849,-45.108211
Colégio Adventista de Macaé,-22.390436,-41.822810
Colégio Adventista de Maceió,-9.633509,-35.715192
Colégio Adventista de Marabá,-5.364692,-49.113432
Colégio Adventista de Maringá - Zona 4,-23.426775,-51.947556
Colégio Adventista de Mauá,-23.667086,-46.451003
Colégio Adventista de Mogi das Cruzes,-23.526682,-46.20227
Colégio Adventista de Niterói,-22.882392,-43.085889
Colégio Adventista de Novo Hamburgo,-29.687293,-51.138761
Colégio Adventista de Padre Miguel,-22.879337,-43.44516
Colégio Adventista de Paulínia,-22.765292,-47.146773
Colégio Adventista de Piracicaba,-22.74844,-47.641965
Colégio Adventista de Porto Alegre,-30.104071,-51.239138
Colégio Adventista de Porto Velho,-8.757827,-63.87494
Colégio Adventista de Praia Grande,-24.014410,-46.439107
Colégio Adventista de Presidente Prudente,-22.120346,-51.405136
Colégio Adventista de Registro,-24.507665,-47.841026
Colégio Adventista de Ribeirão Preto,-21.151508,-47.795223
Colégio Adventista de Rio Branco,-9.96064,-67.840265
Colégio Adventista de Rondonópolis,-16.471152,-54.635721
Colégio Adventista de Salvador,-12.970310620828714,-38.502546673683824
Colégio Adventista de Santa Maria,-29.684501,-53.818484
Colégio Adventista de Santo Amaro,-23.654111,-46.700219
Colégio Adventista de Santo André,-23.668212,-46.528142
Colégio Adventista de Santos,-23.952714,-46.338734
Colégio Adventista de São Bernardo do Campo,-23.714537,-46.541738
Colégio Adventista de São Caetano,-12.93613337448993,-38.47799308103704
Colégio Adventista de São Caetano do Sul,-23.64396,-46.568053
Colégio Adventista de São Carlos,-22.005883,-47.888287
Colégio Adventista de São Francisco do Sul,-26.247608,-48.639094
Colégio Adventista de São José do Rio Preto,-20.830139,-49.39346
Colégio Adventista de São José dos Campos,-23.254502,-45.887323
Colégio Adventista de São Luís,-2.5243328240688436,-44.24968815344
Colégio Adventista de São Miguel Paulista,-23.49813,-46.432321
Colégio Adventista de Sorocaba,-23.522851,-47.48997
Colégio Adventista de Taboão da Serra,-23.601308,-46.768661
Colégio Adventista de Taguatinga,-15.837886,-48.058279
Colégio Adventista de Tatuí,-23.349278,-47.865987
Colégio Adventista de Taubaté - Tremembé,-22.991241,-45.549257
Colégio Adventista de Teófilo Otoni,-17.870496,-41.515284
Colégio Adventista de Tucuruvi,-23.48534,-46.609676
Colégio Adventista de Tupã,-21.920055,-50.525168
Colégio Adventista de Viamão,-30.08185,-51.022251
Colégio Adventista de Vila Alpina,-23.59721,-46.570277
Escola Adventista de Vila das Belezas,-23.648893,-46.741459
Colégio Adventista de Vila Galvão,-23.459412,-46.566721
Colégio Adventista de Vila Matilde,-23.534618,-46.526101
Colégio Adventista de Vila Nova Cachoeirinha,-23.470463,-46.675258
Colégio Adventista de Vila Yara,-23.551691,-46.761808
Colégio Adventista de Vitória,-20.314321,-40.312914
Colégio Adventista de Votuporanga,-20.422815,-49.973051
Colégio Adventista do Brooklin,-23.621436,-46.682034
Colégio Adventista do CPA,-15.559358,-56.044585
Colégio Adventista Jardim Europa,-16.714583,-49.307037
Colégio Adventista do Partenon,-30.066222,-51.176494
Colégio Adventista do Porto,-15.607997,-56.109908
Colégio Adventista do Recife,-8.056359,-34.884668
Colégio Adventista União dos Palmares,-9.159213,-36.029877
Colégio Adventista Ellen G. White,-23.665554,-46.770815
Colégio Adventista Jardim dos Estados,-20.457931,-54.600972
Colégio Adventista Marechal Rondon,-30.013139,-51.148783
Colégio Adventista da Asa Sul,-15.829129,-47.905092
Colégio Adventista Novo Mundo,-16.669657,-49.217685
Colégio Adventista Paul Bernard,-3.070623,-59.944205
Colégio Adventista de Fortaleza,-3.736222,-38.534591
Colégio Adventista Portão,-25.481748,-49.298373
Colégio Adventista São José dos Pinhais,-25.546464,-49.202145
Colégio Adventista Setor Pedro Ludovico,-16.709802,-49.250771
Colégio Adventista Telêmaco Borba,-24.328001,-50.617196
Colégio Adventista Várzea Grande,-15.645373,-56.130488
Colégio Curitibano Adventista Bom Retiro,-25.416173,-49.275044
Colégio Goianiense Adventista,-16.629601,-49.235304
Colégio Adventista de Artur Nogueira,-22.57901,-47.169118
Escola Adventista de Formosa,-15.540308,-47.338778
EDESSA - Educandário Espírito Santense Adventista,-19.525469,-40.708454
Educação Adventista KIDS,-2.5238317083560826,-44.24951408683776
Colégio Adventista de Chapecó,-27.102687,-52.611148
Colégio Adventista Afonso Pena,-25.513717,-49.189745
Colégio Adventista Arlete Afonso,-4.968849,-39.008615
Escola Adventista Centro América,-15.588647,-56.089046
Escola Adventista Centro Nipônico,-1.43334,-48.458826
Colégio Adventista da Alvorada - AM,-3.077212,-60.045057
Escola Adventista da Cidade Operária,-2.57436,-44.19694
Escola Adventista da Concórdia,-19.900637,-43.942939
Colégio Adventista da Granja Viana,-23.593292,-46.85198
Escola Adventista da Liberdade - AM,-3.139854,-59.999381
Escola Adventista da Marambaia,-1.406711,-48.437873
Escola Adventista da Pedreira,-1.429425,-48.473508
Escola Adventista da Serra,-20.128991,-40.304363
Escola Adventista de Alvorada - RS,-30.005936,-51.073851
Escola Adventista de Alvorada - SP,-23.663913,-46.783003
Escola Adventista de Amaralina,-13.01205476863316,-38.47944181612351
Escola Adventista de Anápolis,-16.32799,-48.942579
Escola Adventista de Andradas - EAA,-22.062683,-46.566877
Escola Adventista de Apucarana,-23.548888,-51.453995
Escola Adventista de Araraquara,-21.780112911948464,-48.15611475805206
Colégio Adventista Araucária,-25.585133,-49.400238
Escola Adventista de Ariquemes,-9.905924,-63.041278
Escola Adventista de Barra de São Francisco,-18.758442,-40.895437
Escola Adventista de Barreiras,-12.156145,-44.989213
Colégio Adventista de Belo Jardim,-8.335674,-36.420368
Colégio Adventista de Blumenau,-26.897632,-49.078817
Escola Adventista de Boa Vista - RR,2.826730,-60.669942
Escola Adventista de Bom Retiro da Serra,-27.795939,-49.486016
Colégio Adventista de Botafogo,-22.951097,-43.192747
Escola Adventista de Cachoeira do Sul,-30.040689,-52.900379
Colégio Adventista de Cachoeirinha,-29.951732,-51.105972
Escola Adventista de Campo Grande,-23.673912,-46.689949
Escola Adventista de Campos,-21.770167461836103,-41.32173353888941
Escola Adventista de Canudos,-29.674728,-51.099697
Escola Adventista de Castanhal,-1.2882811,-47.9341000
Escola Adventista de Castro,-24.792637,-50.006394
Escola Adventista de Catanduva,-21.152376,-48.97911
Escola Adventista de Caxias,-4.863152,-43.362153
Escola Adventista de Caxias do Sul,-29.153351,-51.167997
Escola Adventista de Cianorte - ANP,-23.656799,-52.600049
Escola Adventista de Coqueiro,-1.3565853,-48.4293076
Escola Adventista de Coroatá,-4.128056,-44.125379
Colégio Adventista da Marambaia,-1.4009963,-48.4522548
Escola Adventista de Corumbá,-19.0130394,-57.6602301
Escola Adventista de Erechim,-27.64922,-52.261352
Escola Adventista de Fernandópolis,-20.29419,-50.261123
Escola Adventista de Garanhuns,-8.891928,-36.492679
Escola Adventista de Goioerê,-24.19085,-53.021623
Escola Adventista de Guaíra,-24.0858895,-54.2560927
Colégio Adventista de Guarapuava,-25.39375,-51.474569
Escola Adventista de Guaraqueçaba,-25.29525,-48.314229
Escola Adventista de IAPI,-12.954716231100837,-38.47865506486037
Escola Adventista de Ibiúna,-23.659835,-47.21081
Escola Adventista de Icoaraci,-1.272542,-48.455146
Escola Adventista de Ijuí,-28.390254,-53.915148
Escola Adventista de Ilhéus,-14.7855384,-39.0421452
Escola Adventista de Imbituba,-28.239778,-48.668982
Escola Adventista de Imperatriz,-5.528991,-47.482191
Escola Adventista de Indaiatuba,-23.097477,-47.198085
Escola Adventista de Inhaúma,-22.876416,-43.285984
Escola Adventista de Itacoatiara, -3.142192,-58.447369
Colégio Adventista de Itapecerica da Serra,-23.715162,-46.852864
Escola Adventista de Itapetinga - Morumbi,-15.25212,-40.244668
Escola Adventista de Jacobina,-11.185785,-40.514419
Escola Adventista de Jardim Cruzeiro,-12.9278638864908,-38.50176608839262
Escola Adventista de Jardim das Palmeiras,-23.676208,-46.775002
Escola Adventista de Jardim Lilah,-23.671502,-46.7813
Escola Adventista de Jardim Metrópole,-22.7692107,-43.3326873
Escola Adventista de Jaru,-10.4283517,-62.4701365
Escola Adventista de Jequié,-13.865944,-40.075442
Escola Adventista de Ji-Paraná,-10.876172,-61.946263
Escola Adventista de Joinville - Bom Retiro,-26.2709,-48.848642
Colégio Adventista de Joinville - Centro,-26.308849,-48.844351
Colégio Adventista de Juazeiro,-9.41349,-40.50042
Colégio Adventista de Juiz de Fora - CAJF,-21.775574,-43.359326
Colégio Adventista de Jundiaí,-23.20577,-46.855357
Escola Adventista de Lagarto,-10.929239,-37.675499
Escola Adventista de Lins,-21.671816,-49.738272
Colégio Adventista de Macapá,0.044671,-51.059298
Colégio Adventista de Manaus,-3.134741,-60.014775
Escola Adventista de Marília,-22.193564,-49.933134
Escola Adventista de Maringá - Zona 7,-23.415431,-51.929051
Escola Adventista de Miranda,-20.240543,-56.382578
Colégio Adventista de Mogi Guaçu,-22.386341,-46.94495
Escola Adventista de Monte Castelo,-2.537639403866182,-44.278256302695176
Escola Adventista de Montes Claros,-16.74721,-43.88466
Escola Adventista de Mundo Novo,-23.935343,-54.288629
Escola Adventista de Natal,-5.791798,-35.208851
Escola Adventista de Nova Andradina,-22.250315,-53.346951
Escola Adventista de Nova Iguaçu,-22.752866,-43.449458
Escola Adventista de Nova Olinda do Norte,-3.890521,-59.095995
Colégio Adventista de Osório,-29.897484,-50.271804
Escola Adventista de Ouro Preto do Oeste,-10.728406,-62.259151
Escola Adventista de Palmas,-10.195323,-48.311565
Colégio Adventista de Paranaguá,-25.515366,-48.510195
Colégio Adventista de Parauapebas,-6.098024,-49.864264
Escola Adventista de Paripe,-12.839881889292393,-38.46305601739051
Escola Adventista de Pariquera-Açu,-24.712178,-47.874469
Escola Adventista de Pedreira - AP,-23.693716669827616,-46.67374634791147
Colégio Adventista de Pelotas,-31.761841,-52.333431
Colégio Adventista Pinhais,-25.438455,-49.183096
Colégio Adventista Ponta Grossa,-25.104175,-50.156430
Escola Adventista de Porangatu,-13.447586,-49.147352
Escola Adventista de Porto Feliz,-23.200078,-47.522161
Escola Adventista de Porto Franco,-6.342881,-47.400402
Escola Adventista de Praia Grande,-12.872212416682771,-38.47505192046675
Escola Adventista de Redenção,-8.03932,-50.014325
Colégio Adventista de Rio Claro,-22.400861,-47.551585
Escola Adventista de Rio Grande,-32.034827,-52.103841
Escola Adventista de Rio Verde,-17.793269,-50.923618
Escola Adventista de Santa Cecília,-30.068091,-51.096569
Escola Adventista de Santa Inês,-3.665128,-45.374395
Colégio Adventista de Santarém,-2.445590,-54.704254
Escola Adventista de Santo Ângelo,-28.29571,-54.258616
Escola Adventista de Santo Antônio,-3.119701,-60.041581
Escola Adventista de Santo Antônio da Patrulha,-29.829927,-50.520447
Escola Adventista de Santo Antonio de Jesus,-12.953206,-39.274606
Escola Adventista de São Brás Altamir de Paiva,-1.448395,-48.464366
Escola Adventista de São Jorge,-3.110287,-60.044904
Escola Adventista de São Roque,-23.52396,-47.127093
Escola Adventista de Teixeira de Freitas,-17.53980956401215,-39.74124738256675
Escola Adventista de Tomé-Açú,-2.415183,-48.153783
Escola Adventista de Tubarão,-28.491137,-49.009725
Escola Adventista de Uberaba,-19.737489,-47.938128
Escola Adventista de Umuarama,-23.762217,-53.315682
Colégio Adventista União da Vitória,-26.2329144,-51.0903482
Escola Adventista de Uruaçu,-14.523704,-49.147559
Escola Adventista de Uruará,-3.717383,-53.739705
Colégio Adventista de Varginha - CAV,-21.5453101,-45.4474959
Escola Adventista de Vila Nova,-16.664572,-49.240851
Escola Adventista de Vilhena,-12.734095,-60.151058
Escola Adventista de Vista Alegre,-25.408256,-49.297789
Escola Adventista de Vitória da Conquista,-14.857926,-40.833923
Escola Adventista de Vitória de Santo Antão,-8.122819,-35.296900
Escola Adventista do Guará,-15.832128,-47.97506
Escola Adventista do Japiim,-3.110687,-59.986051
Escola Adventista do Sarandi,-29.991395,-51.132883
Escola Adventista Dourados,-22.231293,-54.819529
Escola Adventista de Bacabal,-4.231918,-44.781362
Escola Adventista Paragominas,-2.997385,-47.353452
Escola Adventista Pastor Ivo Souza,-29.669003,-50.662635
Colégio Adventista Pirajuçara,-23.647391,-46.800282
Escola Adventista Rio do Sul,-27.211543,-49.642404
Escola Adventista Thiago White,-23.687500,-46.798000
Escola Adventista Tucuruí,-3.776699,-49.677496
Escola Cursos - Trilhas,-23.349278,-47.865987
Espaço Kids IBES,-20.351700,-40.313642
FAAMA - Faculdade Adventista da Amazônia,-1.329497,-48.248740
Faculdades Minas Gerais - Fadminas,-21.246593,-44.988296
Colégio Adventista da Bahia,-12.570166,-38.970077
Colégio Adventista Amazonas - Campus Residencial - IAAI,-2.705991,-59.735353
IAAMO - Instituto Adventista da Amazônia Ocidental,-10.991391,-62.728865
IABC - Instituto Adventista Brasil Central,-16.062929,-48.855633
Instituto Adventista Cruzeiro do Sul - IACS,-29.672728,-50.7907177
IAESC - Instituto Adventista de Ensino de Santa Catarina,-26.462006,-48.750403
IAP - Instituto Adventista Paranaense,-23.544631,-52.098841
IAPE - Instituto Adventista Pernambucano de Ensino,-8.218039,-35.670577
IATAI - Instituto Adventista Transamazônico Agroindustrial,-3.625895,-53.490108
Instituto Adventista de Manaus,-3.1171,-60.006543
Instituto Adventista Grão Pará,-1.436526,-48.456649
IPAE - Instituto Petropolitano Adventista de Ensino,-22.437897,-43.184393
Unasp-EC - Centro Universitário Adventista Engenheiro Coelho,-22.494953,-47.170057
Unasp-HT - Centro Universitário Adventista Hortolândia,-22.877799,-47.227002
Unasp-SP - Centro Universitário Adventista - São Paulo,-23.666508,-46.781596
Colégio Adventista de Nova Iguaçu,-22.759289,-43.468100
Escola Parceira,-23.349278,-47.865987
Escola Adventista de Valparaíso de Goiás,-16.07522813920115,-47.98393070697784
Escola Adventista de Educação Infantil de Vila Matilde,-23.540171,-46.524254
Colégio Adventista Fazenda Rio Grande,-25.645497,-49.306218
Colégio Adventista de Tangará da Serra,-14.626829,-57.488477
Colégio Adventista de Pouso Alegre - CAPOAL,-22.233882,-45.942187
Colégio Adventista de Criciúma,-28.6896833,-49.3839956
Colégio Adventista de Cachoeiro de Itapemirim,-20.858417,-41.122697
Escola Adventista da Pampulha,-19.843651,-43.986179
Escola Adventista de Toledo,-24.71163448,-53.73363946
Colégio Adventista de São Gonçalo,-22.827373,-43.016751
Colégio Adventista de Alphaville,-23.486033854901322,-46.861710081057865
Escola Adventista de Canoas,-29.9063201,-51.165581
Colégio Adventista de Luís Eduardo Magalhães,-12.0964918,-45.7905729
Colégio Adventista do Buritis,-19.97910908445639,-43.977049031890466
Colégio Adventista de Águas Claras,-15.843842553769425,-48.03262243201509
Escola Adventista de Música ARS,-23.000279001242504,-43.30127569233357
Unasp-BI - Centro Universitário Adventista - Bilíngue,-23.666508,-46.781596
Escola Adventista da Barra da Tijuca,-23.010787333529084,-43.302028924598964
